"word","freq"
"^ㅅ^ㅂ",1
"^ㅎ",1
"^ㅎ^ㅎ",1
"00",1
"01",3
"02",4
"03",3
"04",2
"05",4
"06",3
"07",6
"08",23
"09",19
"0912",1
"10",40
"100",4
"100분토론",4
"101",2
"102",2
"103",2
"104",1
"105",1
"109",1
"10억",1
"11",11
"113",1
"11월17일",1
"12",6
"125",1
"126",1
"127",1
"128",1
"129",1
"13",9
"130",2
"131",1
"132",1
"137화",1
"138화",1
"14",12
"149화",1
"15",18
"150",2
"16",6
"160cm",1
"17",12
"178화",1
"18",11
"181114",1
"182화",1
"183화",1
"187",1
"189화",1
"19",5
"193화",1
"1실점",1
"1심",1
"20",26
"20081",1
"20082",1
"20090",1
"20091",1
"2014",1
"2020",63
"20200902",1
"2021",18
"2022",1
"2024",1
"21",7
"210111",1
"210120",1
"210216",1
"210505",1
"210513",1
"210519",1
"211",1
"213화",1
"218",1
"219화",1
"22",2
"221",1
"222",1
"225화",1
"228",1
"23",3
"232화",1
"233",1
"24",6
"245화",1
"246화",1
"25",5
"254화",1
"26",7
"27",4
"28",5
"29",1
"29전당대회",1
"2부작",2
"2연패",1
"30",7
"3000",1
"3080",1
"309",1
"30대",1
"31",8
"34",1
"3600",1
"3관왕",2
"3단계",1
"3단계격상",1
"3단계는",1
"3등정당",1
"40",2
"41",1
"42",2
"43",1
"44",1
"441",1
"48",1
"49화",1
"4골",1
"4대강",6
"4대강사업",1
"4인가족",1
"4지선다",1
"4차한류",1
"50",1
"500",1
"5단계",1
"60",2
"7000Km",1
"75",1
"771l7",1
"78",1
"7만전자",1
"7월말이후",1
"815",1
"883",1
"884",1
"885",1
"8탈삼진",1
"90",1
"92",1
"95",1
"99",1
"9월10일",1
"9월4일",1
"9월7일",1
"9월8일",2
"AI",1
"and",1
"as",1
"ASMR",1
"BBC",1
"between",1
"Bide",1
"BTS",17
"CCTV",1
"CHOSUN",1
"CPU",1
"Debate",1
"Donald",1
"Dynamite",1
"ENG",2
"Entertainer",2
"envoys",1
"EP",5
"feat",1
"Fi",1
"First",1
"Full",1
"FULL",20
"GDP",1
"GO",1
"IBM",1
"ICBM",1
"ICIJ",1
"Joe",1
"JP",1
"JTBC",8
"Kalguksu",1
"KBS",16
"KBS_202회_2021",1
"KBS_203회_2021",1
"KBS_214회_2021",1
"KBS_215회_2021",1
"KBS_220회_2021",1
"KBS_223회_2021",1
"KBS_224회_2021",1
"KBS_225회_2021",1
"KBS_226회_2021",1
"KBS_229회_2021",1
"KBS_232회_2021",1
"KBS_233회_2021",1
"KBS_235회_2021",1
"KBS_236회_2021",1
"KBS_237회_2021",1
"KBS_238회_2021",1
"KBS_241회_2021",1
"KBS뉴스특",1
"KF",2
"KFX",2
"korea",8
"Korean",1
"LIV",2
"LIVE",1
"MB",2
"MBC",4
"MBC200630방",1
"MBC210116방",1
"MBC210202방",1
"MBC210427방",1
"MBC210504방",1
"MBC210911방",1
"MBC210925방",1
"MBC211113방",1
"MBN",9
"Meeting",1
"Moment",1
"MUKBAN",1
"mushroom",1
"My",1
"nation",1
"New",4
"News",1
"Nightlin",1
"NO",1
"of",1
"Of",1
"OK",1
"OO",2
"Part",1
"partners",1
"PD",7
"Performs",1
"Pick",2
"PM",1
"president",1
"President",1
"presidential",1
"Presidential",1
"REAL",1
"RM",1
"RNB",3
"RTX",1
"SBS",1
"SDG",1
"Shiitake",1
"SNS",5
"SOUND",1
"special",1
"Tangsuyuk",1
"the",2
"The",1
"TIME",1
"TMA",2
"Trump",1
"TSMC",2
"TV",3
"VOA",7
"vs",10
"VS",4
"Way",1
"Wi",1
"with",1
"Yea",2
"Yonhapnew",3
"YonhapnewsT",3
"YT",6
"YTN",11
