"","title","channelTitle","snippet.title"
"1","[풍수인테리어] 식탁에 두면 안되는 물건은?! / 가정에 화목과 재물운을 불러오는 식탁풍수(주방풍수)","희망나무 tv","Education"
"2","미국인들이 한우를 싫어하는 이유.. 미국놈한테 한우 먹여봄","영알남YAN","Education"
"3",","지식해적단","Education"
"4","드디어 공개된 손흥민 요리스 싸움 녹취록 영어, 충격적이네요..","영알남YAN","Education"
"5","주식조정장 피할 수 없다. 투자한다면 이 업종 / 박세익 체슬리자문 전무","매부리TV","Education"
"6","이번 노벨 물리학상의 의미와 상대성이론이 개쩌는 이유","지식보관소","Education"
"7","삼성전자 미쳤다!! 이제는 D램도 초격차로 간다! (Feat. D램의 새로운 규격 DDR5)","NEO지식창고","Education"
"8","[머니올라 68회] “국내 경기 회복세”...주식 매수 타이밍은?(김영익 교수)","머니올라","Education"
"9","범죄를 저지르지 않아서 더 위험하다?! '나르시시스트'와 자기애 넘치는 사람을 구별하는 방법 [타인의 심리 읽어드립니다 EP.7] | 김경일 교수","사피엔스 스튜디오","Education"
"10",","MKTV 김미경TV","Education"
"11","손흥민 또 골, 무리뉴가 칭찬을 안하는 이유","영알남YAN","Education"
"12","요새 유럽에 가면 한국인이 받는 대우.. 당황스럽네요","영알남YAN","Education"
"13","[더블로] 혈장치료제 관련주, 미국 FDA 승인으로 날개 달다! (feat. 임주아X양태원)","와우넷 주식투자","Education"
"14","짧은 시간이었지만 감사했습니다. | 연고티비","연고티비","Education"
"15","2020년 어느날 ㅡ 코스닥이 심히 하락한 날 소회","Super K-슈퍼개미김정환","Education"
"16","이건희 회장의 별세 지주회사로 바뀔것이냐 삼바로 해결할것이냐","Super K-슈퍼개미김정환","Education"
"17","아프간 사태로 보는 이슬람 문화 정리! with 알파고 | 중동, 아프가니스탄, 탈레반","김지윤의 지식Play","Education"
"18","KBS 역사스페셜 ,"KBS역사저널 그날","Education"
"19","이런 고구마는 당장 버리세요! 고구마에도 독이 있습니다!","조여사전성시대","Education"
"20","[신년특집] 전세계 슈퍼 시니어들을 만나다. 80세 청춘의 비밀","KBS 생로병사의 비밀","Education"
"21","탈레반의 아프간 장악이 국제정치에 가져올 파장은? 알파고와 정리하는 아프간 사태! | 중동 전쟁, 아프가니스탄","김지윤의 지식Play","Education"
"22","기관, 외국인 연일 매도! 코스피 3,000 붕괴? 2021년 새롭게 봐야 할 투자 아이디어는?! | 이베스트증권 염승환 부장 | 현대모비스 | 삼성전자 | SK |","E트렌드","Education"
"23","남겨진 한 번의 급락장 2021년, 부자될 마지막 기회","주식투자 와우넷","Education"
"24","가격 산정 및 가치 평가 방법과 2021년에 기대되는 산업 ! + 힌트 영상","iANTrillionaire","Education"
"25","KBS 역사스페셜 ,"KBS역사저널 그날","Education"
"26","가짜사나이 이근대위 빚투 채무 변제","정교수지식채널","Education"
"27","중국과 인도가 국경에서 싸우는 진짜 이유!!","지식한잔","Education"
"28","미국,中 화웨이 숨통 막았다…삼성전자·SK하이닉스도 불똥? l 이두박근","와우넷 주식투자","Education"
"29","[풍수인테리어] 가족의 건강과 재물운,"희망나무 tv","Education"
"30","전세계 사람의 99.999%가 안되는 동작 #Shorts","코코보라","Education"
"31","삼성전자, TSMC 제치고 반도체 시총 1위 탈환.. 신고가로 격차 더 벌릴까? f.이베스트투자증권 염승환 차장","삼프로TV_경제의신과함께","Education"
"32","'한국인들은 인종차별자' 난리난 미국인들, 샘오취리 또 논란..","영알남YAN","Education"
"33","장수마을 오키나와의 몰락_배고픔을 잊은 대신 질병에 시달리는 우리에게 (KBS_305회_2009.10.08 방송)","KBS 생로병사의 비밀","Education"
"34","염승환 차장이 꼽은 2021년 유망업종은?ㅣ한국드라마, 콘텐츠, 전장사업, 자율주행차 [롱앵커]","롱앵커","Education"
"35","오고야 만 급락장 10월 같은 폭락장 오나?","주식투자 와우넷","Education"
"36","52주 신고가 주식만 살펴도 대박낼 수 있다 / 박세익 인피니티투자자문 전무","매부리TV","Education"
"37","무리뉴가 손흥민에 대한 평가를 다르게 한 이유","영알남YAN","Education"
"38","당신이 주식으로 망하는 이유 | 존리 대표 | 경제 투자 주식","하우투 : 하루를 우리에게 투자한다면","Education"
"39","올해 수능 고등학생이 풀기 어렵습니다. (ft. 종로학원 실시간 분석 결과)","공부의신 강성태","Education"
"40","역대급 불불불수능","공부의신 강성태","Education"
"41","새해 복 많이 받으세요! Happy New Year! :) 영어로 인사하기","Sarah Kim","Education"
"42","[풍수] 쓰던 물건 잘 못 버리면 재물운,"희망나무 tv","Education"
"43",","조승연의 탐구생활","Education"
"44","개인은 더 이상 총알받이가 아니에요/염승환 부장(2부)[주식고등학교]","주식초등학교","Education"
"45","올 상반기 불어올 조정의 바람! 이 막차를 놓치지마라 ft.그로쓰힐자산운용 김태홍 대표 [신과함께 #160]","삼프로TV_경제의신과함께","Education"
"46","*사지가 뒤틀린 기모노 인형, 방송 제작진도 중간에 포기해버렸다. 인피인형의 진실  | 토요미스테리 | 디바제시카","디바제시카DeevaJessica","Education"
"47","삼성전자에 무슨 일이??? 외국인은 삼성전자만 팔았다.","돈파는가게_세상의 모든 재테크","Education"
"48","[머니올라 125회]“대중과 반대로 움직여라”...주식투자 역발상이 필요한 이유는?(김동환 소장)","머니올라_KBS","Education"
"49","밈이 된 자막들 : 이젠 자막으로도 드립을 치는 시대","아이템의 인벤토리","Education"
"50","글로벌을 이끌어가는 산업 top  과  잘 나가는 우리의 기업들을 봐야하는 이유down 그리고 2021기대되는 산업과 숨겨놓은 힌트 2 !!!","iANTrillionaire","Education"
"51","두 슈퍼개미의 만남! 슈퍼개미 이세무사가 바라보는 앞으로의 장세와 중소형주 전망 ft.부자의 공식","슈퍼개미 배진한 레슨몬TV","Education"
"52","지금 전세사는 분은 꼭 보세요","부동산 읽어주는 남자","Education"
"53","본격 속이는 사람만 있고 속는 사람은 없는 인터넷 (+기둥 뒤에 공간 있어요!)","아이템의 인벤토리","Education"
"54",","조승연의 탐구생활","Education"
"55","앞으로 딱 10년 남았다...! 2030년 후회하고 싶지 않다면 이 영상을 주목하라 - 김미경의 북드라마","MKTV 김미경TV","Education"
"56","지방에 있는 부동산으로도 큰 수익 낼 수 있습니다. 부동산 고수, 송사무장이 선택한 이 곳!","행크TV","Education"
"57","최종확정! 완결판! 1월 11일부터 3차 재난지원금 지급합니다!","복지마블TV [Welfare Marble]","Education"
"58","첫물 노지 홍고추 10kg  경매 가격이?  고추가격","솔바위농원","Education"
"59","[궁극의 전쟁사]24. 연합군과 독일군의 증언으로 살펴본 '6호 전차 티거'","건들건들","Education"
"60","삼성전자 인텔 반도체 위탁생산 수주! 드디어 꿈의 10만전자? | 이베스트증권 염승환 부장 | 삼성전자 | LG전자 | 현대모비스 |","E트렌드","Education"
"61","범죄심리학에서 본 양부모 심리분석, 정인이 입양 이유 - MKTV특별영상","MKTV 김미경TV","Education"
"62","'손흥민에게 패스해'? 무리뉴 락커룸 녹취록, 소리지른 이유","영알남YAN","Education"
"63","손에 불 붙여보기 (절대 따라하지 마세요) #Shorts","코코보라","Education"
"64","[머니올라 71회]현금은 녹는다...성공투자 위한 4가지 포인트(박세익 전무)","머니올라_KBS","Education"
"65","[구독자요청] 전국노래자랑으로 상봉한 남매 풀영상","KOREAN DIASPORA KBS","Education"
"66","손흥민 골, 손흥민 경기 중 가격당하고 패드립까지.. 빡친 무리뉴 반응","영알남YAN","Education"
"67","손흥민이 환상골 넣고 한 말.. 무리뉴의 냉정한 평가ㄷㄷ","영알남YAN","Education"
"68",","조승연의 탐구생활","Education"
"69",","조승연의 탐구생활","Education"
"70","[머니올라 109회]개인 vs 외국인 힘겨루기...동학개미 이겨야 코스피 3천 넘는다(염승환 차장)","머니올라_KBS","Education"
"71","[1월19일 한국마감] 애플카, 기아차가 만든다","증시각도기TV","Education"
"72","손흥민 골 인터뷰, 갑작스러운 태도 변화에 현지 언론이 주목하는 이유","영알남YAN","Education"
"73","밥에 빨간약을 부으면? #Shorts","코코보라","Education"
"74","아침에 이것 제발 먹지 마세요!","건나물TV","Education"
"75","가족사진 / 이곳에 / 절대 걸지마세요","심영세원","Education"
"76","손흥민 역사상 최초 4골 폭발.. 놀란 손흥민 귀여운 반응","영알남YAN","Education"
"77","KBS 역사스페셜 ,"KBS역사저널 그날","Education"
"78","마트에서 이것 꼭 조심하세요!! 만졌다면 바로 버리고 손부터 씻으세요!!","조여사전성시대","Education"
"79","[머니올라 48회] 빚투는 절대 피하라...주가 하락 국면  대처 방법은?(김영익 교수)","KBS 머니올라","Education"
"80","141, 1557, 42, 486 등 밈으로 쓰이는 숫자들엔 뭐가 있을까?","아이템의 인벤토리","Education"
"81","요즘 이런 문자 받았다면 조심하세요! 모르면 100% 당합니다!","시니어전성시대","Education"
"82","또! 비대면 시작.. 이제 생계는 어떻게 해야 할까요?(공유 많이 해주세요!)","MKTV 김미경TV","Education"
"83","냉동실 '이런' 식품 지금 당장 버리세요! 당신은 세균을 먹고 있습니다!","조여사전성시대","Education"
"84","커피 한 잔 아까워 못 마시던 친구, 알고 보니 10억짜리 아파트 자산가 였다면?! - 김미경의 북드라마","MKTV 김미경TV","Education"
"85","[횡단보도 우회전 단속] 횡단보도 지날 때 벌금 조심하세요!","시니어전성시대","Education"
"86","미국과 중국이 미얀마 쿠데타에 긴장하고 있는 이유!!","지식한잔","Education"
"87","보약보다 좋은 식초, 엄청난 식초효능 13가지 알려 드릴게요","건나물TV","Education"
"88","삼성전자 팔까 살까?, 이렇게 하세요! (삼성전자 주가 전망,삼성전자 상속세,삼성전자 특별배당,연말배당,삼성전자우,삼성전자 우선주,주식)","달팽이주식","Education"
"89","나 숙취 있어! 알딸딸해! 필름 끊겼어를 영어로 어떻게 할까요?","Sarah Kim","Education"
"90","08/13 존리대표 Q&A 한국 주식 지금 사도 좋을까?","존리라이프스타일 주식","Education"
"91","삼성 이건희회장 별세, 다음주 증시 전망 (삼성전자 주가 전망,삼성전자우,우선주,증시전망,주식시황,코스피전망)","달팽이주식","Education"
"92","좋은 뜻으로 시작한 채식, 건강하게 먹는 방법은?? (KBS 20210623 방송)","KBS 생로병사의 비밀","Education"
"93","기상천외한 시험 답안 TOP5 | 입시덕후","입시덕후","Education"
"94","중국과 소련은 도대체 왜 싸웠던 걸까??","지식한잔","Education"
"95","중국과 일본은 왜 아직도 한자를 사용할까? 「한자폐지론」","향문천 ,"Education"
"96","요즘 미국인들이 밤을 새가면서 한국 드라마를 보는 이유 5가지","진저 Jinger Cho","Education"
"97","미국에 이민와보니 한국이 10년쯤 앞서있어서 충격받았던 것","진저 Jinger Cho","Education"
"98","사과를 전자레인지 안에 넣고 돌리면.. 과연 사실일까?","공돌이 용달","Education"
"99","[100ㅅㅔ ㅅㅏㅎㅚㅇㅢ ㄱㅕㅇㄱㅗ 1편] 한국·중국·일본 동아시아 3국 고령화 쇼크에 무너지는가 (KBS_2015.05.21 방송)","KBS 생로병사의 비밀","Education"
"100","미국은 무엇 때문에 러시아를 침공했던 걸까??","지식한잔","Education"
"101","[머니올라 88회]이제는 코로나 이후 대비할 때...내년 국내증시 이끌 종목은?(염승환 차장)","머니올라_KBS","Education"
"102","전기차 관련주 지금이라도 사야 할까? 새로운 태풍이 분다! #전기차관련주","와우넷 주식투자","Education"
"103",","MKTV 김미경TV","Education"
"104","한달 새 2억 껑충! 들썩이는 부동산! 내집 마련 타이밍은?부동산 애널리스트 채상욱이 알려주는 부동산 투자법!  - 2021 부자되기 머니 아카데미 2탄 '채상욱'","MKTV 김미경TV","Education"
"105","삼성전자 고민하는 투자자가 알아야할 3가지 진실","연금박사","Education"
"106","[머니올라 29회]①주가 하락 징후는?...아름다운 조정은 없다 (김영익 교수)","KBS머니올라","Education"
"107","[박한샘] 삼성전자 SK하이닉스 숨겨진 비밀이 있다! 당신이 모르는 하락하는 이유!","와우넷 주식투자","Education"
"108","세계에서 가장 쉬운 김장김치 담자. 욕먹을 각오로 올린 왕언니 스타일 우리 획획뿌려김치 믿고 담아요","산골맛집김선생","Education"
"109","일본인들이 한국 횟집에 처음 오면 경악하는 이유.. 일본인 반응","영알남YAN","Education"
"110","미래학자의 경고 부동산을 팔아서라도 지금 당장 투자해야 할 것은 바로 이것이다!  코로나 골든타임을 잡고 싶다면? - 위기를 기회로 만드는 김미경의 리부트","MKTV 김미경TV","Education"
"111",","MKTV 김미경TV","Education"
"112","모기가 앉아도 터지는 초강력 지뢰 만들기!! (절대 따라하지 마세요)","공돌이 용달","Education"
"113","이혼하지 않으려면 알아야 할 소통의 기술 | 최유나 이혼 전문 변호사, 인스타툰 '메리지 레드' 작가 | 결혼 이혼 부부 | 세바시 1274회","세바시 강연 Sebasi Talk","Education"
"114","중국 싼샤댐을 지키기 위해 포기한 농경지!! 앞으로 식량대란 온다! (Feat. 시진핑 중국 먹방 금지령)","NEO지식창고","Education"
"115","Announcement of the 2020 Nobel Prize in Chemistry","Nobel Prize","Education"
"116","이번 인플레를 놓치면 안 되는 이유","전인구경제연구소","Education"
"117","노화를 늦추고 오래 살려면 운동보다 이것을 먼저 하세요","건나물TV","Education"
"118","내일부터 3가지 신청하세요! 25만원 * 10만명! 50만원 * 80만명! 20만원 * 1700명!","복지마블TV [Welfare Marble]","Education"
"119","옆으로 흐르지 않는 액체 #Shorts","코코보라","Education"
"120","[머니올라 89회] 전기차,"머니올라_KBS","Education"
"121","김장배추 1주일전 이걸 주었더니 속이 노랗고 결구가 빠르게 진행 간단한 꿀팁  꿀통배추 해결법","솔바위농원","Education"
"122","에어컨 하루종일 틀고 에어컨 한대값 버는 전기요금 아끼는 방법","건나물TV","Education"
"123","미증시 급락, 진짜 이유는 따로 있다!  '송관종 위닝리포트'","와우넷 주식투자","Education"
"124","오늘의시황 ㅡ 허니문랠리 바이든 축포","Super K-슈퍼개미김정환","Education"
"125","전 세계 각지의 넷카마 사건들 : 애들아..이럴거면 그냥 떼고 살아라..","아이템의 인벤토리","Education"
"126","트롯계의 히어로! 임영웅님의 수능응원 메세지 공개! (with 생선님)","[승제튜브] 정승제 공식 유튜브 채널","Education"
"127","삼성전자에 목숨걸지 마라!_Feat / 존리","돈파는가게_세상의 모든 재테크","Education"
"128","이번 증시 하락의 원인과 반등시기 그리고 대처","Super K-슈퍼개미김정환","Education"
"129","'쓰레기 혹은 갓갓갓이 된 캐릭터들' : 이것은 세월이 새로 평가","아이템의 인벤토리","Education"
"130","나이들수록 혼자이어야 한다 - 원더풀 인생후반전","원더풀 인생후반전","Education"
"131","당신의 이름 밈으로 대체되었다 : 밈이 되어버린 이름들","아이템의 인벤토리","Education"
"132","삼성전자, 카카오, 현대차 중 신경쓰지 않고 묻어 둘만한 주식은 무엇일까?","달란트투자","Education"
"133","안녕하세요. 아이템의 인벤토리입니다. [연도 별 베스트 드립 라인업에 대해]","아이템의 인벤토리","Education"
"134","전 세계에서 동시에 벌어지는 키보드 배틀 : 당신도 이 주제들로 싸워본 적 있을걸?","아이템의 인벤토리","Education"
"135",","MKTV 김미경TV","Education"
"136","셀트리온 VS JP모건의 전말, 두번째 이야기! '셀트권' 권정호 등판! #셀트리온 #JP모건 #셀트리온헬스케어 #삼성바이오로직스 (feat. 셀트리온의 전설이 오셨습니다..☆)","와우넷 주식투자","Education"
"137","일본판 파맛 첵스 사건 : '이나즈마 일레븐 인기투표 대참사'","아이템의 인벤토리","Education"
"138","전직 군법무관이 본 이근대위 빚투사건 | 난무하는 의혹, 해명, 제보 그러나 쟁점은 오직 1가지 | 누구의 인성에 문제가 있는가?","아는 변호사 Korea Lawyer","Education"
"139","물을 벨 수 있는 특수칼이 있다? #Shorts","코코보라","Education"
"140","비행기에 갖고 타면 큰일나는 금속 #Shorts","코코보라","Education"
"141","[Eng],"조승연의 탐구생활","Education"
"142","식탁 위에 / 절대 두면 안될 / 물건 5가지","심영세원","Education"
"143","이렇게 ,"아이템의 인벤토리","Education"
"144","올해 반드시 주목해야 할 주식들/염승환 부장(3부)[주식고등학교]","주식초등학교","Education"
"145",","MKTV 김미경TV","Education"
"146","아프간 미군 철수와 탈레반의 장악 총정리! 이보다 썩은 나라는 없다?! | 아프가니스탄, 아프간 내전, 바이든, 국제 정치","김지윤의 지식Play","Education"
"147","1부 상속세만 10조라고? 삼성전자의 주가는 어떻게 될까?(이건희 회장 별세)","전인구경제연구소","Education"
"148",","MKTV 김미경TV","Education"
"149","알고보면 유명인이 만들어낸 밈 pt.2 : 와 이걸 이 사람이 만들었어요?","아이템의 인벤토리","Education"
"150","[책이벤트] 나이가 들면 사랑 대신 이것을 해야 합니다  | 정재찬 '우리가 인생이라 부르는 것들' 저자, 한양대학교 사범대학 교수 | 인문학 배움 공부 | 세바시 1275회","세바시 강연 Sebasi Talk","Education"
"151","미나리 해외반응 외신 평론 읽어보기,"조승연의 탐구생활","Education"
"152","이건희 회장 별세 삼성그룹주 주가 흐름은? ㅣ삼성전자, 삼성물산, 삼성생명ㅣ현대차그룹을 참조하자","가치남TV","Education"
"153","[지갑풍수] 재물운,"희망나무 tv","Education"
"154","손흥민 최다골에도 팀은 패배, 영국 해설가가 막말한 이유","영알남YAN","Education"
"155","휴대폰 구입 요령! 휴대폰 사러 가기 전에 이 영상부터 꼭 보고 가세요!","시니어전성시대","Education"
"156","'테슬라 배터리데이' 주목할 진짜 이유! _ '김종철 원포인트 레슨'","와우넷 주식투자","Education"
"157","셀트리온-JP모건 정면 충돌! 엉터리보고서 사건 정리! 셀트리온의 위기? 박한샘이 방송하다가 화난 이유는?? #셀트리온 #JP모건 ｜'박한샘 투자비하인드'","와우넷 주식투자","Education"
"158","현대차와 애플카,  지금 사도 될까?","박제연 '머니클럽'","Education"
"159","김장할 때 '이것' 절대 사용하지 마세요! 김장하기 전 이 영상 꼭 보고 하세요!","시니어전성시대","Education"
"160","폭락장 지금이라도 팔아야할까? 더 사야할까?-1부 이베스트투자증권 염승환부장님과 슈퍼개미 배진한의 선택은?","슈퍼개미 배진한 레슨몬TV","Education"
"161","[머니올라 110회]염블리가 추천하는 내년 증시 투자포트폴리오는?","머니올라","Education"
"162","[김창옥TV 정기강연회 51회] 자존심은 강한데 자존감은 낮은 사람","김창옥TV","Education"
"163","미국에 살아보니 미국이 한국을 절대 따라갈 수 없는 분야 3가지","진저 Jinger Cho","Education"
"164","무한도전의 유산 : 국민예능이 남기고 간 밈들","아이템의 인벤토리","Education"
"165","국내증시 재 반등! 주도주 섹터와 앞으로의 투자전략은? | 이베스트증권 염승환 부장 | 셀트리온 | 삼성전자 | SK |","E트렌드","Education"
"166","[존리 in 방송] 공정한 경제생태계 만들기","존리라이프스타일 주식","Education"
"167","파이(π) = 2 임을 증명하는 영상","Logical 로지컬","Education"
"168","미국인들이 줄 서서 먹는 한국식 고기뷔페.. 여긴 미쳤습니다","영알남YAN","Education"
"169","미국과 중국이 가장 두려워하고 있는 것!!","지식한잔","Education"
"170","삼성家도 평생 고민했을 상속! 우리도 미리미리 준비해야 한다고? - 김미경의 북토크","MKTV 김미경TV","Education"
"171","KBS 역사스페셜 ,"KBS역사저널 그날","Education"
"172","인터넷 역관광 열전 : 확실하지 않으면 승부를 걸지 말아라","아이템의 인벤토리","Education"
"173","폭염 경보에 밖으로 나가지 못해도, 집에서 쉽고 간편하게 돈 잘버는 부업이 있다?! - 긱경제 특집","MKTV 김미경TV","Education"
"174","나이먹고 대접받고 싶다면 이렇게 해라. 행복한 노후설계 돈이 전부가 아니다.  | 방송대 | 방송통신대 |유노캠퍼스 |오종남교수 |은퇴 |부동산","방송통신대&방송대학TV","Education"
"175","세계는 왜 드라마 오징어게임에 열광을 할까?단순하기 때문에 열광을 한다. 독일언론 오징어게임 시즌 2 언제 나오나요? 독일어신문읽어주는남자 독신남","DJ채널","Education"
"176","기후위기 시대, 경제와 투자전략도 이렇게 바뀌어야 합니다 | 슈카 유튜브 채널,"세바시 강연 Sebasi Talk","Education"
"177","싱겁다! 고소하다!를 영어로 어떻게 할까요? 영어로 맛 표현들 정리해드릴게요","Sarah Kim","Education"
"178","새해를 맞아 다시 한 번 뭉쳤다! 경제 유튜버 3인에게 들어보는 2021 투자의 길 ㅣ신사임당 X 슈카월드 X 삼프로TV","삼프로TV_경제의신과함께","Education"
"179","정말 이번 조정이 게임스탑때문이라 생각합니까? 정말? 이상한거 못 느끼셨나요?","Super K-슈퍼개미김정환","Education"
"180","인터넷에선 투표하는거 아닙니다 : 전 세계 각지에서 벌어진 파맛 첵스 사건","아이템의 인벤토리","Education"
"181","아프지 않고 건강하게 살고 싶다면!! 아침밥 대신 이것 꼭 드세요!! 몸에 놀라운 변화가 생깁니다!!","조여사전성시대","Education"
"182","이왜진? 당연히 주작일 줄 알았지만 실제였던 정신나간 사건들","아이템의 인벤토리","Education"
"183","6월부터 한 집에 50만원씩 줍니다!! 지금 신청하세요!! 신청 방법, 받는 방법!!","시니어전성시대","Education"
"184","의대 증원과 공공의대에 대한 닥프의 생각 | feat. 의사파업","닥터프렌즈","Education"
